ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
37,0.000,0.000,0.000,0.000,D:\Programme\anaconda3\envs\fml\lib\sre_parse.py:254(get)
22,0.000,0.000,0.000,0.000,D:\Programme\anaconda3\envs\fml\lib\sre_parse.py:286(tell)
8,0.000,0.000,0.000,0.000,D:\Programme\anaconda3\envs\fml\lib\sre_parse.py:355(_escape)
2,0.000,0.000,0.000,0.000,D:\Programme\anaconda3\envs\fml\lib\sre_parse.py:432(_uniq)
9/6,0.000,0.000,0.001,0.000,D:\Programme\anaconda3\envs\fml\lib\sre_parse.py:435(_parse_sub)
10/7,0.001,0.000,0.001,0.000,D:\Programme\anaconda3\envs\fml\lib\sre_parse.py:493(_parse)
6,0.000,0.000,0.000,0.000,D:\Programme\anaconda3\envs\fml\lib\sre_parse.py:921(fix_flags)
6,0.000,0.000,0.002,0.000,D:\Programme\anaconda3\envs\fml\lib\sre_parse.py:937(parse)
1,0.000,0.000,0.000,0.000,D:\Programme\anaconda3\envs\fml\lib\weakref.py:105(__init__)
1,0.000,0.000,0.000,0.000,D:\Programme\anaconda3\envs\fml\lib\weakref.py:290(update)
2,0.000,0.000,0.000,0.000,D:\Programme\anaconda3\envs\fml\lib\_weakrefset.py:21(__enter__)
2,0.000,0.000,0.000,0.000,D:\Programme\anaconda3\envs\fml\lib\_weakrefset.py:17(__init__)
2,0.000,0.000,0.000,0.000,D:\Programme\anaconda3\envs\fml\lib\_weakrefset.py:27(__exit__)
2,0.000,0.000,0.000,0.000,D:\Programme\anaconda3\envs\fml\lib\_weakrefset.py:53(_commit_removals)
3,0.000,0.000,0.000,0.000,D:\Programme\anaconda3\envs\fml\lib\_weakrefset.py:63(__iter__)
2,0.000,0.000,0.000,0.000,D:\Programme\anaconda3\envs\fml\lib\_weakrefset.py:86(add)
1,0.000,0.000,0.000,0.000,D:\Programme\anaconda3\envs\fml\lib\_weakrefset.py:111(remove)
16,0.000,0.000,0.000,0.000,D:\Programme\anaconda3\envs\fml\lib\inspect.py:159(isfunction)
2,0.000,0.000,0.000,0.000,D:\Programme\anaconda3\envs\fml\lib\inspect.py:488(getmro)
8,0.000,0.000,0.000,0.000,D:\Programme\anaconda3\envs\fml\lib\inspect.py:514(_is_wrapper)
8,0.000,0.000,0.000,0.000,D:\Programme\anaconda3\envs\fml\lib\inspect.py:494(unwrap)
8,0.000,0.000,0.000,0.000,D:\Programme\anaconda3\envs\fml\lib\inspect.py:2150(_signature_from_function)
8,0.000,0.000,0.001,0.000,D:\Programme\anaconda3\envs\fml\lib\inspect.py:2244(_signature_from_callable)
12,0.000,0.000,0.000,0.000,D:\Programme\anaconda3\envs\fml\lib\inspect.py:2496(__init__)
12,0.000,0.000,0.000,0.000,D:\Programme\anaconda3\envs\fml\lib\inspect.py:2546(name)
20,0.000,0.000,0.000,0.000,D:\Programme\anaconda3\envs\fml\lib\inspect.py:2828(<genexpr>)
8,0.000,0.000,0.000,0.000,D:\Programme\anaconda3\envs\fml\lib\inspect.py:2779(__init__)
8,0.000,0.000,0.001,0.000,D:\Programme\anaconda3\envs\fml\lib\inspect.py:2857(from_callable)
8,0.000,0.000,0.000,0.000,D:\Programme\anaconda3\envs\fml\lib\inspect.py:2863(parameters)
8,0.000,0.000,0.001,0.000,D:\Programme\anaconda3\envs\fml\lib\inspect.py:3109(signature)
4,0.000,0.000,0.000,0.000,D:\Programme\anaconda3\envs\fml\lib\queue.py:34(__init__)
810,0.007,0.000,0.016,0.000,D:\Programme\anaconda3\envs\fml\lib\queue.py:122(put)
810,0.006,0.000,0.012,0.000,D:\Programme\anaconda3\envs\fml\lib\queue.py:154(get)
4,0.000,0.000,0.000,0.000,D:\Programme\anaconda3\envs\fml\lib\queue.py:206(_init)
810,0.001,0.000,0.001,0.000,D:\Programme\anaconda3\envs\fml\lib\queue.py:209(_qsize)
810,0.001,0.000,0.001,0.000,D:\Programme\anaconda3\envs\fml\lib\queue.py:213(_put)
810,0.001,0.000,0.001,0.000,D:\Programme\anaconda3\envs\fml\lib\queue.py:217(_get)
5,0.000,0.000,0.000,0.000,D:\Programme\anaconda3\envs\fml\lib\threading.py:82(RLock)
14,0.000,0.000,0.000,0.000,D:\Programme\anaconda3\envs\fml\lib\threading.py:228(__init__)
1621,0.002,0.000,0.002,0.000,D:\Programme\anaconda3\envs\fml\lib\threading.py:256(__enter__)
1621,0.001,0.000,0.002,0.000,D:\Programme\anaconda3\envs\fml\lib\threading.py:259(__exit__)
1,0.000,0.000,0.000,0.000,D:\Programme\anaconda3\envs\fml\lib\threading.py:265(_release_save)
1,0.000,0.000,0.000,0.000,D:\Programme\anaconda3\envs\fml\lib\threading.py:268(_acquire_restore)
1621,0.001,0.000,0.002,0.000,D:\Programme\anaconda3\envs\fml\lib\threading.py:271(_is_owned)
1,0.000,0.000,0.002,0.002,D:\Programme\anaconda3\envs\fml\lib\threading.py:280(wait)
1620,0.006,0.000,0.008,0.000,D:\Programme\anaconda3\envs\fml\lib\threading.py:351(notify)
2,0.000,0.000,0.000,0.000,D:\Programme\anaconda3\envs\fml\lib\threading.py:521(__init__)
2,0.000,0.000,0.000,0.000,D:\Programme\anaconda3\envs\fml\lib\threading.py:529(is_set)
1,0.000,0.000,0.002,0.002,D:\Programme\anaconda3\envs\fml\lib\threading.py:556(wait)
1,0.000,0.000,0.000,0.000,D:\Programme\anaconda3\envs\fml\lib\threading.py:750(_newname)
1,0.000,0.000,0.000,0.000,D:\Programme\anaconda3\envs\fml\lib\threading.py:795(__init__)
1,0.000,0.000,0.002,0.002,D:\Programme\anaconda3\envs\fml\lib\threading.py:873(start)
4439,0.004,0.000,0.004,0.000,D:\Programme\anaconda3\envs\fml\lib\threading.py:1073(name)
1,0.000,0.000,0.000,0.000,D:\Programme\anaconda3\envs\fml\lib\threading.py:1127(daemon)
1,0.000,0.000,0.000,0.000,D:\Programme\anaconda3\envs\fml\lib\threading.py:1142(daemon)
1,0.000,0.000,0.000,0.000,D:\Programme\anaconda3\envs\fml\lib\threading.py:1209(_make_invoke_excepthook)
4440,0.004,0.000,0.005,0.000,D:\Programme\anaconda3\envs\fml\lib\threading.py:1338(current_thread)
1,0.000,0.000,0.000,0.000,D:\Programme\anaconda3\envs\fml\lib\random.py:126(seed)
1,0.000,0.000,0.000,0.000,D:\Programme\anaconda3\envs\fml\lib\random.py:117(__init__)
46205,0.068,0.000,0.084,0.000,D:\Programme\anaconda3\envs\fml\lib\random.py:237(_randbelow_with_getrandbits)
8,0.000,0.000,0.000,0.000,D:\Programme\anaconda3\envs\fml\lib\random.py:343(choice)
32010,0.118,0.000,0.207,0.000,D:\Programme\anaconda3\envs\fml\lib\random.py:348(shuffle)
4,0.000,0.000,0.000,0.000,D:\Programme\anaconda3\envs\fml\lib\random.py:791(getrandbits)
9,0.000,0.000,0.000,0.000,D:\Programme\anaconda3\envs\fml\lib\locale.py:352(_replace_encoding)
18,0.000,0.000,0.001,0.000,D:\Programme\anaconda3\envs\fml\lib\locale.py:386(normalize)
